#,Voinov,PRC,74,,014314(2006),
#,55Mn(d,n)56Fe,
1.213215,0.5393886,0.5070574,
1.477857,2.2571242,1.7934452,
2.007143,5.5465512,2.827727,
2.271786,4.5508568,3.9529737,
2.53643,3.7730177,3.3887187,
2.801072,5.8714369,3.3475161,
3.330358,15.1622603,5.2785346,
3.595,23.9480385,7.2704793,
3.859643,21.3030624,7.5408432,
4.124286,16.6078817,6.7248473,
4.388929,22.7816752,7.5665258,
4.653572,35.3557348,9.4931698,
4.918214,50.1680559,12.0304331,
5.182858,58.3749251,12.726085,
5.447501,68.8498077,13.2310742,
5.712143,83.9907144,15.8357386,
5.976786,89.2541312,14.5641492,
6.241429,98.5022463,15.8196777,
6.506072,120.5504534,18.195233,
6.770714,126.3303645,17.3894772,
7.035357,150.5193378,19.4582472,
7.3,157.9871134,18.9236248,
7.564643,210.9785878,23.3301216,
7.829286,242.0020557,26.2838713,
8.093928,319.2381121,33.4628487,
8.358572,349.0664812,34.9240207,
8.623215,417.0381191,40.1875645,
8.887857,507.5129568,49.3354121,
9.1525,620.3069585,54.9835141,
9.417143,735.5695469,67.5722821,
9.681786,882.5263266,76.847338,
9.946429,1138.85735,103.0766636,
10.211071,1398.8201,114.7337602,
10.475715,1613.3284,132.7615792,
10.740357,2062.4355,161.7158289,
11.005813,2639.5039,214.213386,
11.269643,3221.9354,219.46838,
11.534286,3637.3465,253.661311,
